Fecha;Hora;Temperatura;Humedad (%);Humedad del suelo (%);Porcenaje de agua;Estado bomba
18/8/2022;13:45:55;20.5;77.4;11.62;64.52;0
18/8/2022;13:46:06;20.5;77.4;10.64;64.52;0
18/8/2022;13:46:16;20.5;77.3;10.25;64.52;1
18/8/2022;13:46:21;20.5;77.3;25.88;59.18;0
18/8/2022;13:46:26;20.5;77.2;25.49;59.99;0
18/8/2022;13:46:31;20.5;77.2;25.49;59.17;0
18/8/2022;13:46:36;20.5;77.2;25.68;59.15;0
18/8/2022;13:46:41;20.5;77.2;26.95;59.15;0
18/8/2022;13:46:46;20.5;77.2;25.59;59.6;0
18/8/2022;13:46:51;20.5;77.3;25;59.56;0
18/8/2022;13:46:56;20.5;77.3;25.39;59.41;0
18/8/2022;13:47:01;20.5;77.3;25.29;59.05;0
18/8/2022;13:47:06;20.5;77.2;25;59.6;0
18/8/2022;13:47:11;20.5;77.2;25.49;59.47;0
18/8/2022;13:47:16;20.5;77.2;24.71;59.46;0
18/8/2022;13:47:21;20.5;77.2;25;59.87;0
18/8/2022;13:47:26;20.5;77.2;24.8;59.93;0
18/8/2022;13:47:31;20.5;77.1;25;59.62;0
18/8/2022;13:47:36;20.5;77.1;24.8;59.43;0
18/8/2022;13:47:41;20.6;77.5;25.29;59.51;0
18/8/2022;13:47:46;20.6;77.7;24.8;59.53;0
18/8/2022;13:47:51;20.5;77.7;23.24;59.58;0
18/8/2022;13:47:56;20.5;77.6;23.44;59.71;0
18/8/2022;13:48:01;20.6;77.6;23.63;59.51;0
18/8/2022;13:48:06;20.6;77.6;23.44;59.83;0
18/8/2022;13:48:11;20.6;77.5;23.14;59.59;0
18/8/2022;13:48:16;20.6;77.5;23.44;59.25;0
18/8/2022;13:48:21;20.5;77.4;23.63;59.57;0
18/8/2022;13:48:26;20.5;77.4;23.54;59.86;0
18/8/2022;13:48:31;20.5;77.3;23.34;59.28;0
18/8/2022;13:48:36;20.6;77.4;23.44;59.14;0
18/8/2022;13:48:41;20.5;77.3;23.63;59.73;0
